"age","income","title","experience","instrument","band"
32,43809,"educator",24,"piano",1
32,70416,"manager",41,"guitar",0
41,25114,"educator",13,"drums",1
42,20153,"educator",6,"piano",0
54,33708,"performer",17,"piano",1
36,24148,"performer",26,"voice",0
24,44251,"producer",17,"voice",1
44,24852,"performer",12,"voice",1
41,52789,"manager",36,"guitar",0
44,32715,"composer",14,"voice",0
38,46281,"manager",17,"guitar",1
45,35528,"educator",12,"guitar",1
57,36181,"educator",15,"guitar",1
38,42510,"educator",29,"guitar",0
35,26643,"educator",10,"drums",1
47,21759,"educator",7,"voice",1
45,22975,"performer",9,"drums",1
46,26214,"performer",14,"drums",1
39,45260,"composer",27,"voice",0
25,50517,"educator",36,"guitar",0
39,36406,"performer",31,"voice",0
41,32563,"producer",14,"piano",0
33,60290,"performer",41,"voice",0
36,42301,"composer",32,"piano",0
22,35251,"educator",17,"drums",0
53,53358,"composer",26,"drums",0
53,45690,"educator",12,"voice",1
19,47177,"performer",33,"voice",1
58,26112,"composer",7,"drums",1
41,44411,"educator",16,"piano",1
35,24971,"educator",29,"piano",0
59,23344,"performer",11,"piano",0
44,37894,"performer",30,"violin",0
38,63852,"educator",30,"guitar",0
39,43151,"performer",21,"guitar",1
53,24042,"composer",16,"drums",0
47,35896,"performer",28,"voice",0
31,32183,"manager",21,"drums",1
34,43936,"performer",34,"guitar",0
45,50414,"producer",33,"drums",1
56,32696,"composer",13,"piano",1
41,20803,"performer",13,"violin",1
47,21289,"composer",8,"voice",0
47,42428,"composer",18,"piano",1
42,59242,"manager",34,"voice",0
54,52901,"performer",23,"guitar",1
35,24425,"producer",14,"violin",1
50,29151,"producer",26,"guitar",0
30,24554,"producer",14,"piano",1
52,45153,"producer",27,"guitar",0
50,22767,"composer",4,"drums",1
42,30039,"manager",15,"voice",1
34,57110,"composer",18,"drums",1
41,19446,"composer",11,"guitar",0
30,26695,"educator",26,"guitar",0
42,56171,"performer",31,"voice",0
25,42810,"composer",26,"guitar",0
58,46119,"educator",26,"guitar",1
36,33967,"composer",21,"voice",1
32,27010,"performer",28,"piano",0
51,51882,"educator",34,"guitar",0
30,27231,"performer",13,"guitar",1
60,34607,"manager",10,"piano",1
37,32274,"educator",18,"saxophone",1
36,23310,"performer",8,"guitar",1
47,20748,"performer",17,"drums",1
36,45904,"composer",34,"violin",1
37,22561,"educator",7,"drums",0
39,34459,"manager",19,"voice",0
36,23549,"composer",9,"piano",1
39,24256,"composer",7,"saxophone",1
40,42130,"educator",19,"saxophone",1
20,33623,"producer",20,"voice",1
28,29849,"educator",19,"guitar",1
41,39238,"performer",24,"guitar",0
39,29622,"performer",27,"voice",0
40,24320,"performer",28,"voice",0
55,56977,"performer",32,"violin",0
39,22306,"educator",5,"voice",1
58,32541,"producer",33,"guitar",1
38,37769,"performer",23,"guitar",1
49,34354,"educator",13,"voice",1
33,32286,"educator",16,"drums",1
44,37305,"composer",16,"voice",1
31,16237,"educator",4,"guitar",1
30,23443,"performer",4,"voice",1
36,20517,"producer",9,"piano",1
39,21314,"educator",11,"voice",0
55,44856,"performer",26,"piano",0
36,46005,"composer",4,"piano",1
45,42434,"performer",26,"piano",0
48,41380,"educator",21,"voice",1
34,35229,"manager",21,"voice",1
51,27502,"educator",13,"voice",0
37,40912,"performer",23,"piano",0
43,25660,"performer",5,"violin",1
44,41255,"composer",25,"guitar",0
34,49056,"manager",30,"voice",0
23,33405,"educator",18,"guitar",1
38,25106,"composer",19,"voice",1
54,48990,"educator",28,"guitar",0
38,49325,"manager",27,"voice",0
64,22995,"composer",11,"violin",1
43,16147,"educator",8,"drums",1
60,42897,"educator",28,"violin",0
39,44603,"performer",25,"voice",0
44,27967,"performer",17,"piano",1
30,28478,"performer",6,"voice",0
60,15871,"educator",3,"guitar",1
44,42610,"performer",30,"guitar",1
35,19598,"performer",0,"voice",1
51,36782,"educator",27,"voice",0
41,32977,"educator",29,"violin",0
40,32063,"producer",21,"voice",1
38,28171,"performer",11,"voice",1
43,48900,"educator",26,"guitar",0
53,57111,"performer",20,"drums",0
40,36985,"performer",27,"piano",0
35,56280,"performer",26,"guitar",0
35,22526,"composer",8,"guitar",1
31,41633,"performer",34,"drums",0
42,31858,"performer",17,"piano",1
35,26322,"composer",16,"guitar",1
39,29242,"educator",12,"guitar",1
28,47356,"composer",35,"guitar",1
30,44265,"educator",27,"voice",0
64,48559,"composer",31,"guitar",0
47,47157,"performer",37,"guitar",0
37,32945,"educator",12,"guitar",1
42,23112,"producer",15,"guitar",1
39,33560,"educator",22,"guitar",0
49,57530,"performer",30,"voice",1
39,45818,"performer",25,"drums",0
39,45668,"educator",32,"guitar",0
45,33175,"educator",19,"voice",1
30,15763,"manager",1,"drums",1
48,29527,"composer",29,"voice",0
45,47985,"composer",27,"guitar",0
51,68514,"performer",39,"guitar",0
57,29342,"educator",9,"voice",1
54,23026,"performer",8,"guitar",1
39,51337,"composer",17,"guitar",1
50,67258,"producer",37,"guitar",0
42,54491,"composer",35,"guitar",0
38,31251,"educator",16,"guitar",1
40,34035,"manager",6,"saxophone",1
34,30912,"performer",11,"voice",0
58,33022,"composer",26,"voice",1
40,26841,"composer",23,"piano",1
20,50333,"composer",19,"guitar",1
56,26645,"performer",10,"guitar",1
37,21305,"composer",11,"guitar",0
45,35988,"performer",20,"violin",1
40,60945,"educator",29,"piano",0
57,31315,"manager",9,"guitar",1
20,42870,"educator",21,"voice",1
41,39731,"educator",26,"voice",0
47,46375,"manager",24,"voice",1
32,32329,"educator",12,"saxophone",1
25,35183,"performer",14,"guitar",1
37,51063,"manager",36,"drums",0
37,47432,"educator",25,"guitar",0
39,21765,"composer",14,"voice",1
35,30716,"manager",23,"guitar",1
44,27549,"composer",28,"guitar",0
47,33797,"educator",14,"drums",1
38,37207,"educator",18,"piano",0
42,57887,"performer",28,"guitar",0
32,17160,"performer",14,"voice",1
46,27777,"performer",12,"guitar",1
49,43430,"educator",31,"voice",0
41,38039,"performer",15,"saxophone",1
38,34569,"producer",13,"piano",0
63,33065,"performer",17,"piano",1
43,29342,"producer",14,"voice",1
50,40198,"educator",27,"voice",0
27,52120,"performer",18,"saxophone",1
24,42651,"performer",22,"drums",1
47,35174,"educator",13,"saxophone",0
28,50014,"educator",33,"drums",1
49,44254,"performer",17,"drums",1
36,55286,"composer",36,"guitar",0
37,61777,"manager",29,"drums",0
32,40268,"composer",22,"saxophone",1
39,35981,"producer",28,"guitar",0
32,28638,"manager",10,"voice",1
33,23836,"performer",14,"drums",0
42,43309,"educator",31,"guitar",0
53,46167,"educator",17,"voice",1
33,27305,"educator",11,"voice",1
45,28430,"performer",23,"guitar",1
44,24853,"manager",10,"piano",1
38,42188,"educator",16,"saxophone",1
44,65161,"manager",35,"saxophone",0
46,25704,"performer",13,"guitar",1
37,38788,"educator",25,"voice",0
47,35841,"manager",24,"voice",1
34,40766,"educator",21,"piano",1
37,25981,"performer",28,"guitar",0
37,23335,"performer",5,"voice",0
47,54060,"composer",34,"guitar",0
49,40766,"manager",18,"voice",1
34,61505,"performer",30,"piano",0
19,68803,"performer",23,"voice",1
31,41852,"composer",24,"guitar",1
32,47035,"performer",20,"drums",1
53,37279,"composer",29,"voice",0
42,43863,"manager",13,"saxophone",1
38,26389,"manager",15,"guitar",1
34,31578,"educator",26,"drums",0
56,33859,"composer",11,"guitar",1
30,34862,"educator",30,"drums",0
33,20817,"composer",27,"voice",0
65,13750,"performer",10,"guitar",1
40,28073,"educator",24,"voice",1
55,39546,"educator",20,"drums",1
20,21802,"performer",8,"guitar",0
35,60241,"producer",29,"piano",0
51,29192,"manager",22,"drums",1
35,30709,"composer",7,"guitar",1
36,35151,"performer",19,"piano",1
48,32313,"producer",15,"piano",1
34,37258,"composer",32,"voice",0
46,21449,"manager",5,"voice",1
25,23393,"performer",1,"piano",1
47,37457,"producer",20,"violin",1
40,28857,"educator",13,"guitar",1
31,24330,"performer",6,"guitar",0
51,24250,"educator",11,"voice",1
42,38515,"composer",27,"voice",0
49,31702,"performer",11,"drums",0
49,33566,"educator",28,"guitar",0
49,35271,"composer",31,"voice",1
29,36539,"performer",7,"voice",1
54,41442,"performer",5,"piano",1
58,40657,"performer",17,"piano",1
43,57186,"performer",39,"saxophone",0
48,42309,"performer",28,"guitar",0
27,26344,"performer",19,"guitar",1
51,61143,"composer",39,"drums",0
48,62768,"performer",36,"drums",0
36,35945,"manager",9,"guitar",1
31,30777,"manager",16,"saxophone",1
49,20509,"composer",18,"guitar",1
40,60603,"composer",36,"guitar",1
42,45812,"composer",19,"violin",1
23,38978,"composer",26,"voice",0
33,40191,"performer",30,"guitar",0
47,24800,"manager",29,"voice",0
35,30616,"educator",25,"piano",0
40,36233,"educator",21,"voice",1
32,16245,"performer",6,"voice",1
42,38931,"educator",14,"guitar",1
29,47407,"composer",17,"piano",1
28,44830,"educator",23,"guitar",1
39,23174,"composer",7,"saxophone",1
53,36481,"composer",12,"drums",1
37,56328,"educator",32,"violin",0
35,30587,"performer",15,"piano",0
39,25705,"composer",20,"voice",1
52,22635,"performer",3,"drums",1
36,25030,"composer",8,"guitar",1
42,37526,"educator",18,"violin",1
33,22949,"composer",1,"saxophone",1
26,40635,"producer",25,"voice",1
36,45624,"manager",19,"piano",1
44,29477,"performer",1,"drums",1
21,47097,"producer",23,"piano",1
38,34399,"educator",13,"voice",1
42,27026,"educator",19,"voice",1
52,41027,"composer",31,"voice",0
58,33716,"performer",20,"piano",0
38,64227,"educator",35,"drums",0
52,33684,"composer",9,"voice",1
38,21283,"manager",11,"voice",1
47,24659,"performer",10,"piano",1
43,45174,"performer",24,"guitar",1
50,26359,"manager",16,"voice",1
38,44831,"performer",24,"voice",1
58,38048,"performer",28,"guitar",0
41,28139,"educator",14,"violin",1
30,62168,"performer",26,"drums",0
37,29196,"performer",18,"drums",0
41,23855,"composer",3,"violin",1
46,33765,"composer",5,"guitar",1
46,38036,"educator",14,"voice",1
34,24149,"manager",6,"voice",1
21,21385,"performer",5,"guitar",1
45,40449,"composer",30,"drums",0
47,22225,"educator",32,"piano",1
36,29061,"manager",18,"guitar",1
26,24012,"composer",3,"voice",1
34,28211,"educator",13,"violin",1
38,42822,"producer",25,"guitar",0
35,26133,"producer",11,"guitar",1
47,26511,"composer",13,"voice",1
29,31465,"educator",9,"piano",1
42,46809,"manager",32,"guitar",0
39,32254,"educator",24,"voice",1
34,49324,"producer",27,"voice",0
45,22722,"composer",7,"violin",0
35,39792,"composer",27,"guitar",0
33,20223,"performer",21,"guitar",0
41,21305,"performer",11,"saxophone",1
49,50326,"composer",35,"voice",0
52,30585,"manager",23,"voice",1
27,17332,"manager",4,"guitar",1
43,30703,"composer",19,"guitar",0
48,26885,"composer",8,"piano",1
47,25871,"performer",3,"piano",0
42,30781,"composer",7,"saxophone",1
25,43076,"educator",21,"piano",1
28,36225,"performer",29,"guitar",0
52,47709,"educator",31,"guitar",1
34,36116,"producer",13,"voice",1
40,42713,"educator",27,"guitar",0
36,23053,"educator",14,"voice",0
24,26959,"performer",4,"guitar",1
47,22313,"performer",3,"violin",1
42,50195,"educator",14,"piano",1
32,22636,"educator",2,"guitar",1
31,31427,"composer",10,"voice",1
34,23322,"educator",8,"piano",0
40,41088,"performer",29,"voice",0
26,34447,"performer",32,"saxophone",0
54,38621,"performer",21,"piano",1
43,44477,"manager",19,"voice",1
29,33869,"educator",16,"guitar",0
38,36792,"manager",26,"guitar",0
38,57192,"educator",26,"drums",1
44,33806,"educator",32,"voice",1
42,49494,"composer",32,"voice",0
36,42905,"performer",15,"piano",1
34,32268,"educator",11,"drums",1
54,23972,"educator",18,"guitar",1
54,29832,"composer",4,"drums",1
39,32365,"educator",18,"violin",0
29,54393,"performer",30,"piano",0
43,45931,"performer",43,"voice",0
34,49288,"composer",39,"guitar",0
50,19164,"composer",2,"guitar",1
40,21648,"composer",13,"drums",1
45,25250,"performer",21,"guitar",1
24,44535,"educator",28,"guitar",0
30,48386,"composer",16,"violin",1
44,21053,"manager",22,"guitar",1
47,53374,"performer",31,"guitar",0
26,32971,"composer",9,"voice",1
46,40119,"performer",20,"voice",1
33,70198,"composer",51,"voice",0
56,35648,"performer",20,"voice",0
46,55188,"composer",33,"drums",0
40,57552,"educator",41,"guitar",0
35,26015,"composer",18,"piano",1
41,42558,"producer",14,"piano",1
48,23650,"producer",14,"piano",1
45,38249,"performer",28,"piano",1
53,49275,"composer",36,"voice",0
48,24480,"producer",9,"saxophone",1
47,47375,"composer",33,"voice",0
32,37753,"producer",30,"drums",0
46,21029,"performer",11,"drums",1
19,20930,"composer",8,"voice",0
32,46773,"educator",30,"drums",0
31,46989,"manager",19,"voice",1
50,25190,"manager",11,"guitar",1
40,20098,"educator",14,"piano",1
51,14067,"performer",2,"piano",1
41,35107,"composer",12,"guitar",1
39,52750,"composer",37,"piano",0
29,57513,"performer",33,"voice",1
45,46127,"composer",26,"voice",0
25,18706,"performer",15,"piano",1
33,24742,"producer",20,"drums",0
46,22746,"performer",9,"piano",1
39,28064,"educator",21,"voice",1
37,52269,"manager",26,"guitar",1
33,21225,"educator",5,"voice",1
43,19343,"producer",3,"violin",1
44,21062,"performer",7,"drums",1
42,31268,"performer",31,"drums",0
35,49624,"composer",26,"saxophone",0
40,30478,"performer",15,"saxophone",1
52,19701,"performer",9,"piano",1
34,21544,"composer",13,"guitar",1
45,31356,"educator",13,"voice",1
60,37444,"composer",28,"guitar",0
41,39925,"performer",34,"guitar",0
52,26619,"manager",5,"guitar",1
24,29677,"composer",12,"voice",0
41,25149,"composer",14,"voice",1
44,18196,"composer",4,"guitar",1
36,30500,"educator",16,"piano",1
37,17991,"educator",9,"voice",1
51,46481,"composer",32,"saxophone",0
43,21240,"manager",5,"piano",1
35,42103,"performer",21,"voice",1
49,24292,"composer",7,"guitar",0
37,35913,"educator",11,"guitar",1
42,37850,"producer",8,"saxophone",1
49,46060,"producer",25,"voice",0
50,45827,"manager",27,"piano",0
52,38149,"manager",23,"piano",1
45,39158,"performer",11,"drums",1
24,25169,"performer",4,"piano",1
27,38909,"composer",12,"guitar",1
35,18079,"performer",3,"violin",1
31,42343,"producer",22,"drums",0
36,16777,"manager",10,"voice",1
46,56979,"educator",25,"guitar",1
24,41055,"performer",3,"guitar",1
27,18849,"composer",13,"drums",0
49,27076,"producer",16,"drums",1
63,20989,"performer",4,"piano",1
56,28902,"manager",7,"guitar",1
27,21905,"composer",7,"voice",1
43,26161,"producer",12,"piano",1
40,53364,"performer",32,"violin",0
56,57378,"producer",39,"piano",0
46,34582,"composer",12,"guitar",1
35,49026,"composer",27,"piano",0
29,30064,"performer",22,"guitar",0
36,45584,"performer",18,"saxophone",1
39,21895,"composer",8,"guitar",1
38,25133,"producer",0,"voice",1
47,39090,"performer",21,"guitar",0
42,36907,"composer",14,"guitar",1
25,31120,"educator",9,"drums",0
29,30963,"educator",10,"voice",1
46,23462,"performer",13,"piano",1
54,45867,"educator",11,"voice",1
42,24823,"educator",8,"drums",1
30,26318,"producer",6,"piano",1
34,46672,"producer",18,"voice",1
38,49758,"performer",29,"violin",0
48,19283,"educator",10,"piano",1
33,53839,"performer",28,"guitar",1
45,24993,"performer",14,"piano",1
52,25141,"educator",7,"voice",0
28,46210,"performer",36,"guitar",1
59,38341,"manager",26,"voice",0
26,21080,"manager",7,"saxophone",0
52,18425,"composer",5,"piano",1
25,39369,"manager",21,"piano",1
33,32803,"producer",20,"guitar",1
47,25329,"performer",14,"drums",1
33,30069,"educator",20,"piano",0
26,30944,"educator",15,"drums",1
34,44102,"composer",19,"piano",1
31,30685,"composer",13,"voice",1
45,40226,"composer",25,"voice",0
43,25794,"composer",6,"voice",1
41,27594,"performer",7,"voice",1
57,18266,"performer",9,"drums",1
55,23362,"performer",14,"violin",1
45,25782,"performer",1,"guitar",1
42,25484,"educator",16,"piano",1
33,33249,"educator",16,"saxophone",1
54,23272,"educator",9,"saxophone",1
36,47028,"producer",31,"voice",0
45,29624,"performer",23,"voice",1
44,27705,"educator",6,"saxophone",1
19,37706,"educator",25,"guitar",1
50,18720,"performer",3,"violin",1
18,31907,"producer",16,"voice",1
42,18337,"performer",10,"voice",1
53,31549,"performer",16,"voice",1
50,29874,"manager",5,"piano",1
39,34893,"educator",14,"voice",1
43,58169,"performer",40,"guitar",0
45,29126,"composer",15,"voice",1
42,40435,"composer",15,"piano",1
30,23582,"educator",6,"guitar",1
28,33168,"manager",22,"drums",1
45,65208,"performer",37,"guitar",1
36,37612,"composer",13,"voice",1
53,42028,"producer",21,"guitar",1
37,31570,"performer",19,"voice",1
34,19724,"manager",18,"piano",1
41,25634,"educator",6,"guitar",1
40,33799,"manager",14,"piano",1
47,33206,"performer",22,"voice",1
35,19178,"educator",5,"violin",1
24,30802,"producer",23,"drums",1
31,35725,"composer",24,"voice",0
27,58973,"educator",30,"voice",0
25,39476,"educator",32,"drums",1
43,34080,"manager",8,"voice",1
34,25337,"producer",2,"voice",1
21,19788,"performer",8,"guitar",0
39,24113,"producer",11,"guitar",1
53,29503,"performer",14,"piano",1
51,57154,"performer",38,"piano",0
28,25346,"educator",13,"violin",1
41,63400,"performer",30,"voice",0
35,21929,"educator",10,"violin",1
40,32032,"manager",12,"guitar",0
30,36906,"performer",18,"drums",0
31,36121,"educator",11,"guitar",1
39,27743,"performer",12,"guitar",0
37,68449,"producer",38,"drums",0
49,33933,"educator",12,"piano",1
58,26027,"producer",12,"violin",1
32,26146,"performer",8,"piano",1
30,21987,"composer",5,"drums",1
33,24740,"producer",10,"voice",1
47,21433,"educator",12,"voice",1
28,35268,"performer",27,"piano",1
34,83158,"educator",47,"guitar",0
48,31222,"producer",21,"guitar",1
38,27169,"performer",11,"piano",1
30,23750,"performer",10,"drums",1
53,43035,"manager",25,"drums",1
36,49654,"composer",29,"voice",0
22,20680,"manager",12,"drums",1
31,30427,"producer",11,"guitar",1
35,43683,"performer",33,"piano",0
29,53689,"performer",18,"voice",1
30,45876,"educator",19,"piano",1
45,44936,"composer",27,"violin",1
41,24296,"performer",4,"guitar",1
38,29705,"educator",24,"voice",1
62,33883,"composer",9,"piano",1
48,26379,"performer",18,"drums",1
33,30935,"manager",18,"voice",1
35,29989,"educator",9,"drums",1
46,27711,"performer",9,"voice",0
47,32457,"manager",13,"voice",1
36,50489,"producer",27,"voice",0
27,23563,"educator",8,"voice",1
39,55075,"producer",34,"guitar",0
51,22749,"performer",8,"guitar",1
27,43765,"manager",9,"guitar",1
39,24071,"educator",10,"drums",1
56,32794,"performer",5,"drums",1
34,16938,"composer",12,"guitar",0
50,24619,"performer",6,"voice",1
53,31985,"producer",8,"piano",1
55,42452,"performer",18,"voice",0
37,22699,"producer",13,"voice",1
29,28588,"performer",2,"voice",1
34,28257,"educator",14,"guitar",1
36,42107,"educator",15,"violin",1
41,28467,"producer",13,"guitar",1
36,17004,"educator",10,"voice",1
40,22446,"performer",13,"drums",0
46,34368,"educator",26,"piano",0
49,31935,"performer",30,"voice",0
35,26213,"performer",8,"piano",1
28,26010,"performer",25,"drums",0
54,32040,"educator",13,"guitar",1
34,38959,"performer",24,"saxophone",0
36,51536,"composer",33,"voice",0
44,36351,"performer",21,"violin",1
44,26057,"educator",29,"violin",1
48,28058,"composer",12,"drums",1
66,34538,"educator",9,"piano",1
48,30964,"performer",12,"piano",1
44,46220,"performer",20,"guitar",1
46,24305,"educator",13,"voice",1
55,23604,"composer",5,"voice",1
57,22741,"performer",14,"violin",1
43,38411,"educator",12,"piano",1
19,42395,"composer",32,"piano",0
55,35754,"manager",26,"voice",0
25,63521,"manager",31,"guitar",0
46,57200,"performer",31,"drums",0
39,27912,"performer",11,"voice",1
51,53731,"performer",26,"voice",0
26,37148,"educator",2,"guitar",1
58,38872,"performer",28,"guitar",0
27,43087,"manager",22,"voice",0
47,33903,"performer",26,"drums",0
52,62187,"producer",21,"guitar",1
28,51383,"performer",23,"piano",1
28,41316,"manager",26,"violin",0
36,36878,"performer",32,"piano",1
25,51352,"educator",28,"guitar",0
31,21934,"manager",5,"drums",1
43,37375,"educator",32,"voice",0
52,32764,"performer",14,"piano",1
52,21688,"performer",10,"voice",1
34,19505,"manager",4,"guitar",1
44,24686,"manager",29,"piano",0
40,34781,"performer",23,"voice",1
44,42581,"performer",30,"drums",0
45,24741,"educator",9,"guitar",1
41,27971,"composer",11,"piano",1
48,58408,"composer",29,"guitar",1
34,43387,"educator",30,"guitar",0
40,39487,"producer",18,"drums",1
39,42064,"manager",28,"guitar",0
54,34050,"manager",19,"guitar",0
47,40941,"performer",25,"voice",0
32,26260,"performer",10,"voice",1
48,42145,"performer",35,"piano",0
34,31635,"performer",9,"guitar",1
32,60523,"educator",24,"guitar",1
45,31917,"performer",15,"voice",1
33,33158,"educator",31,"voice",0
39,25500,"composer",12,"drums",1
40,36439,"performer",29,"guitar",0
37,29880,"composer",29,"piano",0
48,37060,"educator",18,"voice",1
57,39868,"composer",30,"violin",0
52,23652,"educator",30,"piano",0
38,24943,"producer",12,"guitar",0
46,39435,"performer",15,"voice",1
57,25947,"producer",14,"guitar",1
34,41899,"composer",33,"voice",0
35,40463,"manager",12,"guitar",1
27,32703,"educator",15,"saxophone",1
52,44695,"composer",16,"voice",1
49,29755,"performer",17,"drums",1
40,28048,"composer",12,"guitar",0
57,23292,"performer",5,"drums",1
39,23958,"educator",20,"guitar",1
53,20826,"performer",8,"guitar",1
48,40052,"composer",29,"guitar",0
43,50806,"manager",26,"piano",0
34,27346,"educator",10,"piano",1
42,67547,"composer",39,"drums",0
44,26288,"performer",18,"piano",1
45,37225,"producer",35,"voice",0
41,19368,"producer",1,"drums",1
32,51745,"producer",26,"guitar",0
53,40916,"performer",27,"saxophone",0
32,34446,"composer",28,"piano",0
31,29915,"educator",13,"voice",1
28,31494,"performer",7,"guitar",1
53,23547,"performer",8,"drums",1
49,68240,"educator",36,"guitar",0
35,23138,"educator",9,"saxophone",1
44,21649,"manager",19,"violin",1
50,23935,"performer",8,"piano",1
39,30295,"performer",5,"piano",1
52,18774,"performer",10,"voice",1
44,41996,"performer",21,"drums",1
52,22994,"composer",9,"guitar",1
21,40855,"producer",24,"piano",1
53,53111,"performer",38,"guitar",0
33,38203,"composer",28,"voice",0
52,65134,"performer",34,"guitar",0
49,32731,"composer",19,"guitar",1
30,39980,"performer",29,"guitar",1
45,26266,"composer",6,"violin",1
42,33760,"educator",18,"voice",0
34,42840,"composer",22,"voice",1
29,52331,"performer",28,"piano",0
42,27792,"educator",28,"guitar",0
23,22068,"producer",6,"voice",1
31,32447,"performer",8,"drums",1
56,30355,"producer",7,"voice",1
47,32979,"performer",10,"drums",1
39,39013,"producer",11,"guitar",1
42,35939,"educator",32,"saxophone",0
